RU;33;62;TransparentCalls;0.87;461;54;31
US;47;1590;E-Voice;0.79;812;27;53
GB;5;1005;TransparentCalls;0.97;374;2;45
FR;52;447;TransparentCalls;0.83;315;28;4
BL;72;1069;E-Voice;0.98;193;81;60
AT;74;1347;TransparentCalls;0.85;483;80;15
BG56;1305;E-Voice;0.72;939;26;31
DK;65;749;JustPhone;0.66;944;47;9
CA;72;310;JustPhone;0.61;898;81;59
ES;88;442;E-Voice;0.80;437;6;53
CH;49;90;JustPhone;0.99;841;58;36
TR;40;446;TransparentCalls;0.75;50;56;16
PE;62;1269;JustPhone;0.61;419;68;14
NZ;50;1946;JustPhone;0.78;937;69;54
MC;41;1919;E-Voice;0.73;706;45;39
